Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
11,115,TX,UDP,520,2.2024,172,0,192.166.1.86,192.166.1.85
14,50,RX,UDP,520,2.20263,272,0,192.166.1.102,192.166.1.101
14,50,TX,UDP,520,2.20263,272,0,192.166.1.102,192.166.1.101
11,127,RX,UDP,520,2.20265,152,0,192.166.1.35,192.166.1.36
11,127,TX,UDP,520,2.20265,152,0,192.166.1.35,192.166.1.36
14,142,RX,UDP,520,2.20291,172,0,192.166.1.3,192.166.1.4
14,142,TX,UDP,520,2.20291,172,0,192.166.1.3,192.166.1.4
11,131,RX,UDP,520,2.20293,172,0,192.166.1.43,192.166.1.44
11,131,TX,UDP,520,2.20293,172,0,192.166.1.43,192.166.1.44
13,76,RX,UDP,520,2.203,212,0,192.166.1.6,192.166.1.5
13,76,TX,UDP,520,2.203,212,0,192.166.1.6,192.166.1.5
12,8,RX,UDP,520,2.20307,232,0,192.166.1.69,192.166.1.70
12,8,TX,UDP,520,2.20307,232,0,192.166.1.69,192.166.1.70
14,145,RX,UDP,520,2.20322,192,0,192.166.1.19,192.166.1.20
14,145,TX,UDP,520,2.20322,192,0,192.166.1.19,192.166.1.20
11,153,RX,UDP,520,2.20343,312,0,192.166.1.28,192.166.1.27
11,153,TX,UDP,520,2.20343,312,0,192.166.1.28,192.166.1.27
14,129,RX,UDP,520,2.20372,312,0,192.166.1.100,192.166.1.99
14,129,TX,UDP,520,2.20372,312,0,192.166.1.100,192.166.1.99
11,112,RX,UDP,520,2.2039,292,0,192.166.1.88,192.166.1.87
11,112,TX,UDP,520,2.2039,292,0,192.166.1.88,192.166.1.87
14,111,RX,UDP,520,2.204,172,0,192.166.1.39,192.166.1.40
14,111,TX,UDP,520,2.204,172,0,192.166.1.39,192.166.1.40
11,43,RX,UDP,520,2.20428,232,0,192.166.1.84,192.166.1.83
11,43,TX,UDP,520,2.20428,232,0,192.166.1.84,192.166.1.83
14,144,RX,UDP,520,2.20434,212,0,192.166.1.68,192.166.1.67
14,144,TX,UDP,520,2.20434,212,0,192.166.1.68,192.166.1.67
11,150,RX,UDP,520,2.20465,172,0,192.166.1.16,192.166.1.15
11,150,TX,UDP,520,2.20465,172,0,192.166.1.16,192.166.1.15
13,141,RX,UDP,520,2.20471,212,0,192.166.1.70,192.166.1.69
13,141,TX,UDP,520,2.20471,212,0,192.166.1.70,192.166.1.69
12,128,RX,UDP,520,2.20478,212,0,192.166.1.98,192.166.1.97
12,128,TX,UDP,520,2.20478,212,0,192.166.1.98,192.166.1.97
14,137,RX,UDP,520,2.20481,292,0,192.166.1.74,192.166.1.73
14,137,TX,UDP,520,2.20481,292,0,192.166.1.74,192.166.1.73
11,155,RX,UDP,520,2.20499,152,0,192.166.1.14,192.166.1.13
11,155,TX,UDP,520,2.20499,152,0,192.166.1.14,192.166.1.13
14,53,RX,UDP,520,2.20516,212,0,192.166.1.85,192.166.1.86
